Id, Title, Creator, Assignee, Milestone, State, Body Text
87,backup script not working when portableapps location changed,jayantadn, , ,OPEN,,
86,avidemux not found message is too long,jayantadn, , ,OPEN,![image](https://user-images.githubusercontent.com/32790085/39409449-ca6f5888-4c04-11e8-9fac-ac142ad63552.png)
,
85,why refresh database make so many changes?,jayantadn, , ,OPEN,perform refresh database. see the console log and validate each of them.,
84,rating everywhere should take care of suffixes e.g. 4+,jayantadn, , ,OPEN,,
83,play by actor - sort actor names alphabetically,jayantadn, , ,OPEN,,
82,for all select commands, create options with variables,jayantadn, , ,OPEN,otherwise the string has to be entered two times. if any changes, very easy to forget the second one.,
78,play_random_file timeout if no movie is found,jayantadn, , ,OPEN,,
69,sync error with external media,jayantadn, , ,OPEN,![screenshot from 2018-04-15 17-37-03](https://user-images.githubusercontent.com/32790085/38778232-f174eb1e-40d3-11e8-9798-6bdc4c9760a4.png)
,
60,non movie files not being deleted,jayantadn, , ,OPEN,,
